AD;DEP_AD01;DJEREM;TIBATI;
AD;DEP_AD02;FARO ET DEO;TIGNERE;
AD;DEP_AD03;MAYO-BANYO;BANYO;
AD;DEP_AD04;MBERE;MEIGANGA;
AD;DEP_AD05;VINA;NGAOUNDERE;
CE;DEP_CE01;HAUTE-SANAGA;NANGA-EBOKO;
CE;DEP_CE02;LEKIE;MONATELE;
CE;DEP_CE03;MBAM ET INOUBOU;BAFIA;
CE;DEP_CE04;MBAM ET KIM;NTUI;
CE;DEP_CE05;MEFOU ET AFAMBA;MFOU;
CE;DEP_CE06;MEFOU ET AKONO;NGOUMOU;
CE;DEP_CE07;MFOUNDI;YAOUNDE;
CE;DEP_CE08;NYONG ET KELLE;ESEKA;
CE;DEP_CE09;NYONG ET MFOUMOU;AKONOLINGA;
CE;DEP_CE10;NYONG ET SO'O;MBALMAYO;
EN;DEP_EN01;DIAMARE;MAROUA;DIA
EN;DEP_EN02;LOGONE ET CHARI;KOUSSERI;LC
EN;DEP_EN03;MAYO-DANAY;YAGOUA;MD
EN;DEP_EN04;MAYO-KANI;KAELE;MK
EN;DEP_EN05;MAYO-SAVA;MORA;MS
EN;DEP_EN06;MAYO-TSANAGA;MOKOLO;MT
ES;DEP_ES01;BOUMBA ET NGOKO;YOKADOUMA;
ES;DEP_ES02;HAUT-NYONG;ABONG-MBANG;
ES;DEP_ES03;KADEY;BATOURI;
ES;DEP_ES04;LOM ET DJEREM;BERTOUA;
LT;DEP_LT01;MOUNGO;NKONGSAMBA;
LT;DEP_LT02;NKAM;YABASSI;
LT;DEP_LT03;SANAGA-MARITIME;EDEA;
LT;DEP_LT04;WOURI;DOUALA;
NO;DEP_NO01;BENOUE;GAROUA;
NO;DEP_NO02;FARO;POLI;
NO;DEP_NO03;MAYO-LOUTI;GUIDER;
NO;DEP_NO04;MAYO-REY;Tchollire;
NW;DEP_NW01;BOYO;FUNDONG;
NW;DEP_NW02;BUI;KUMBO;
NW;DEP_NW03;DONGA-MANTUNG;NKAMBE;
NW;DEP_NW04;MENCHUM;WUM;
NW;DEP_NW05;MEZAM;BAMENDA;
NW;DEP_NW06;MOMO;MBENGWI;
NW;DEP_NW07;NGO-KETUNJIA;NDOP;
OU;DEP_OU01;BAMBOUTOS;MBOUDA;
OU;DEP_OU02;HAUT-NKAM;BAFANG;
OU;DEP_OU03;HAUTS-PLATEAUX;BAHAM;
OU;DEP_OU04;KOUNG-KHI;BANDJOUN;
OU;DEP_OU05;MENOUA;DSCHANG;
OU;DEP_OU06;MIFI;BAFOUSSAM;
OU;DEP_OU07;NDE;BAGANGTE;
OU;DEP_OU08;NOUN;FOUMBAN;
SU;DEP_SU01;DJA ET LOBO;SANGMELIMA;
SU;DEP_SU02;MVILA;EBOLOWA;
SU;DEP_SU03;OCEAN;KRIBI;
SU;DEP_SU04;VALLEE DU NTEM;AMBAM;
SW;DEP_SW01;FAKO;LIMBE;
SW;DEP_SW02;KOUPE MANENEGOUBA;BANGEM;
SW;DEP_SW03;LEBIALEM;MENJI;
SW;DEP_SW04;MANYU;MAMFE;
SW;DEP_SW05;MEME;KUMBA;
SW;DEP_SW06;NDIAN;MUNDEMBA;
