code_arrond;aa_nom;immatriculation;is_anglophone;is_francophone;is_general;is_technique;is_normal;is_public;has_secondescycle;contact_tel;contact_whatsapp;contact_email;contact_BP;abbreviation;effective_fille;effective_garcon;effective_total;
ARR_EN001;CES DE BALDA;;0;1;1;0;0;1;0;;;;;;0;0;191;
ARR_EN001;CES DE GUINLAYE;;0;1;1;0;0;1;0;;;;;;0;0;243;
ARR_EN001;CES DE MADAKA;;0;1;1;0;0;1;0;;;;;;0;0;268;
ARR_EN001;CES DE SEDEK;;0;1;1;0;0;1;0;;;;;;0;0;229;
ARR_EN001;CETIC DE BOGO;;0;1;0;1;0;1;0;;;;;;0;0;121;
ARR_EN001;LYCEE BILINGUE DE BOGO;;1;1;1;0;0;1;1;;;;;;0;0;1412;
ARR_EN002;CES DE KAHEO;;0;1;1;0;0;1;0;;;;;;0;0;204;
ARR_EN002;CES DE OURO ZANGUI;;0;1;1;0;0;1;0;;;;;;0;0;213;
ARR_EN002;CES DE YOLDEO;;0;1;1;0;0;1;0;;;;;;0;0;241;
ARR_EN002;CETIC DE DARGALA;;0;1;0;1;0;1;0;;;;;;0;0;124;
ARR_EN002;LYCEE DE DARGALA;;0;1;1;0;0;1;1;;;;;;0;0;706;
ARR_EN003;CETIC DE GAZAWA;;0;1;0;1;0;1;0;;;;;;0;0;354;
ARR_EN003;LYCEE DE GAZAWA;;0;1;1;0;0;1;1;;;;;;0;0;903;
ARR_EN003;LYCEE DE MASSAKAL;;0;1;1;0;0;1;1;;;;;;0;0;345;
ARR_EN004;CES DE HARDE;;0;1;1;0;0;1;0;;;;;;0;0;600;
ARR_EN004;CES DE NGASSA;;0;1;1;0;0;1;0;;;;;;0;0;259;
ARR_EN004;CES DE PALAR;;0;1;1;0;0;1;0;;;;;;0;0;715;
ARR_EN004;COLLEGE BILINGUE JACQUES DE BERNON;;1;1;1;0;0;0;1;;;;;;0;0;0;
ARR_EN004;COLLEGE PRIVE ISLAMIQUE DE LA FRATERNITE KAYSERI;;0;1;1;0;0;0;1;;;;;;0;0;0;
ARR_EN004;COLLEGE PRIVE LAIC SIDDI DJAOURO;;0;1;1;0;0;0;1;;;;;;0;0;0;
ARR_EN004;COURS DU SOIR DE LE ESPOIR;;0;1;1;0;0;0;1;;;;;;0;0;0;
ARR_EN004;COURS DU SOIR DE LE EXCELLENCE DE MAROUA;;0;1;1;0;0;0;1;;;;;;0;0;0;
ARR_EN004;ENIEG PRIVE BILINGUE DE MAROUA;;1;1;1;0;1;0;1;;;;;;0;0;0;
ARR_EN004;INSTITUT ISLAMIQUE SABIL EL-FALAH EL-HAIRI;;0;1;1;0;0;0;1;;;;;;0;0;0;
ARR_EN004;LYCEE DE KATOUAL;;0;1;1;0;0;1;1;;;;;;0;0;459;
ARR_EN004;LYCEE DE MAKABAYE;;0;1;1;0;0;1;1;;;;;;0;0;937;
ARR_EN004;LYCEE BILINGUE DE MAROUA DOMAYO;;1;1;1;0;0;1;1;;;;;;0;0;2045;
ARR_EN004;LYCEE DE MAROUA SALAK;;0;1;1;0;0;1;1;;;;;;0;0;950;
ARR_EN004;LYCEE DE MESKINE;;0;1;1;0;0;1;1;;;;;;0;0;1035;
ARR_EN004;LYCEE DE OURO-TCHEDE;;0;1;1;0;0;1;1;;;;;;0;0;1144;
ARR_EN004;LYCEE TECHNIQUE DE MESKINE;;0;1;0;1;0;1;1;;;;;;0;0;895;
ARR_EN004;LYCEE TECHNIQUE DE SALAK;;0;1;0;1;0;1;1;;;;;;0;0;374;
ARR_EN005;CETIC DE DOGBA;;0;1;0;1;0;1;0;;;;;;0;0;141;
ARR_EN005;LYCEE TECHNIQUE DE DOUALARE;;0;1;0;1;0;1;1;;;;;;0;0;568;
ARR_EN005;COLLEGE ADVENTISTE BERGSTROM DE DOGBA;;0;1;1;0;0;0;1;;;;;;0;0;0;
ARR_EN005;COLLEGE ADVENTISTE DE MAROUA;;0;1;1;0;0;0;1;;;;;;0;0;0;
ARR_EN005;COURS DU SOIR DE LA PROMOTION COLLECTIVE;;0;1;1;0;0;0;1;;;;;;0;0;0;
ARR_EN005;ENIET DE MAROUA;;0;1;0;1;1;1;1;;;;;;0;0;632;
ARR_EN005;LYCEE DE DOGBA;;0;1;1;0;0;1;1;;;;;;0;0;661;
ARR_EN005;LYCEE DE DOUALARE;;0;1;1;0;0;1;1;;;;;;0;0;1165;
ARR_EN005;LYCEE DE GAYAK;;0;1;1;0;0;1;1;;;;;;0;0;442;
ARR_EN005;LYCEE DE KAKATARE MAROUA;;0;1;1;0;0;1;1;;;;;LYKAMA;0;0;2457;
ARR_EN006;CES DE GUINADJI;;0;1;1;0;0;1;0;;;;;;0;0;56;
ARR_EN006;CES DE KODEK;;0;1;1;0;0;1;0;;;;;;0;0;349;
ARR_EN006;CETIC DE KONGOLA;;0;1;0;1;0;1;0;;;;;;0;0;351;
ARR_EN006;COLLEGE PRIVE ISLAMIQUE ABOU DAOUD;;0;1;1;0;0;0;1;;;;;;0;0;0;
ARR_EN006;COLLEGE PRIVE ISLAMIQUE ZAID BIN SULTANE;;0;1;1;0;0;0;1;;;;;;0;0;0;
ARR_EN006;COLLEGE PROTESTANT DE MAROUA;;0;1;1;0;0;0;1;;;;;;0;0;0;
ARR_EN006;CTM/CETI;;0;1;1;1;0;0;0;;;;;;0;0;0;
ARR_EN006;ENIEG BILINGUE DE MAROUA;;1;1;1;0;1;1;1;;;;;;0;0;574;
ARR_EN006;LYCEE BILINGUE DE MAROUA;;1;1;1;0;0;1;1;;;;;;0;0;3907;
ARR_EN006;LYCEE CLASSIQUE ET MODERNE DE MAROUA;;0;1;1;0;0;1;1;;;;;LYCLAMOMA;0;0;3504;
ARR_EN006;LYCEE DE BALAZA-ALCALI;;0;1;1;0;0;1;1;;;;;;0;0;631;
ARR_EN006;LYCEE DE MAROUA KONGOLA;;0;1;1;0;0;1;1;;;;;;0;0;1369;
ARR_EN006;LYCEE TECHNIQUE BILINGUE DE MAROUA;;0;1;0;1;0;1;1;;;;;;0;0;3086;
ARR_EN007;CES DE MANGUIRLA;;0;1;1;0;0;1;0;;;;;;0;0;352;
ARR_EN007;CETIC DE GODOLA;;0;1;0;1;0;1;0;;;;;;0;0;326;
ARR_EN007;CETIC DE OUAZZANG;;0;1;0;1;0;1;0;;;;;;0;0;398;
ARR_EN007;LYCEE DE DOULEK;;0;1;1;0;0;1;1;;;;;;0;0;636;
ARR_EN007;LYCEE DE DOUROUM;;0;1;1;0;0;1;1;;;;;;0;0;781;
ARR_EN007;LYCEE DE GODOLA;;0;1;1;0;0;1;1;;;;;;0;0;850;
ARR_EN007;LYCEE DE KALLIAO;;0;1;1;0;0;1;1;;;;;;0;0;576;
ARR_EN007;LYCEE DE MERI;;0;1;1;0;0;1;1;;;;;;0;0;1087;
ARR_EN007;LYCEE TECHNIQUE DE MERI;;0;1;0;1;0;1;1;;;;;;0;0;548;
ARR_EN008;CES DE LOULOU;;0;1;1;0;0;1;0;;;;;;0;0;320;
ARR_EN008;CETIC DE LOULOU;;0;1;0;1;0;1;0;;;;;;0;0;144;
ARR_EN008;LYCEE DE AGAI-KOLA;;0;1;1;0;0;1;1;;;;;;0;0;499;
ARR_EN008;LYCEE DE GAWEL;;0;1;1;0;0;1;1;;;;;;0;0;616;
